ID_Prodotto,Prezzo,Quantita,Ricavo,Categoria
50,51.80586414464783,24.0,1243.3407394715477,Elettronica
51,341.9737409342737,46.0,15730.79208297659,Accessori
52,16.46790747523587,14.0,230.55070465330215,Elettronica
53,215.3838428333343,12.0,2584.606114000012,Elettronica
54,245.69729027474332,23.0,5651.037676319096,Software
55,109.60085960234493,3.0,328.80257880703476,Accessori
56,213.220325969265,15.0,3198.3048895389747,Accessori
57,146.6540419449807,32.0,4692.929342239382,Accessori
58,138.86533377723154,43.0,5971.209352420956,Accessori
59,249.6199308669393,49.0,12231.376612480026,Elettronica
60,196.58730445125306,21.0,4128.333393476314,Accessori
61,390.1122591617252,49.0,19115.500698924534,Accessori
62,29.46573410021919,20.0,589.3146820043838,Elettronica
63,368.64095313794064,47.0,17326.12479748321,Elettronica
64,445.8586667457266,24.0,10700.608001897439,Elettronica
65,471.18523253070106,29.0,13664.371743390331,Elettronica
66,88.51856266022465,10.0,885.1856266022464,Periferiche
67,218.6265636715807,27.0,5902.917219132679,Software
68,480.62517756035083,25.0,12015.629439008771,Software
69,430.59809738152927,49.0,21099.306771694934,Accessori
70,117.92443365292579,10.0,1179.244336529258,Elettronica
71,80.34076132178127,41.0,3293.971214193032,Elettronica
72,498.49668663741176,34.0,16948.887345672,Periferiche
73,245.71209570937148,31.0,7617.074966990516,Software
74,474.21791404713383,24.0,11381.229937131211,Software
75,32.71695702148418,2.0,65.43391404296835,Software
76,287.9317526576222,27.0,7774.1573217558,Periferiche
77,37.95862403747583,45.0,1708.1380816864123,Elettronica
78,95.2887294632632,37.0,3525.682990140738,Periferiche
79,345.4069318138471,43.0,14852.498067995426,Accessori
80,216.7208417229512,18.0,3900.975151013122,Periferiche
81,144.47195112568997,14.0,2022.6073157596595,Periferiche
82,428.78421820334313,8.0,3430.273745626745,Accessori
83,196.21758660566226,45.0,8829.791397254801,Software
84,466.20118692432163,44.0,20512.85222467015,Software
85,499.25879755148185,18.0,8986.658355926673,Accessori
86,87.09350375933512,14.0,1219.3090526306917,Software
87,438.82363272380377,15.0,6582.354490857057,Elettronica
88,421.323909810147,7.0,2949.2673686710286,Software
89,62.09412532948444,36.0,2235.38851186144,Periferiche
90,348.8572914594805,7.0,2442.0010402163634,Accessori
91,46.76533448439055,2.0,93.5306689687811,Accessori
92,202.62462555388325,50.0,10131.231277694162,Software
93,355.33407504521955,43.0,15279.365226944441,Elettronica
94,58.098576424562104,34.0,1975.3515984351116,Software
95,411.2457842582762,9.0,3701.212058324486,Elettronica
96,30.2796790792497,29.0,878.1106932982412,Periferiche
97,471.45598862523445,14.0,6600.383840753282,Elettronica
98,385.31029057411496,33.0,12715.239588945793,Software
99,333.36110828541274,13.0,4333.694407710365,Software
100,228.39868372425533,5.0,1141.9934186212768,Accessori
101,274.85195916473833,30.0,8245.55877494215,Accessori
102,285.20167103409057,45.0,12834.075196534075,Periferiche
103,32.44683931787105,44.0,1427.6609299863262,Periferiche
104,77.15874387485717,24.0,1851.8098529965719,Elettronica
105,335.2495765410526,18.0,6034.492377738947,Elettronica
106,304.8959318396435,12.0,3658.7511820757218,Software
107,189.40696241662482,20.0,3788.139248332496,Periferiche
108,392.1762990894775,31.0,12157.465271773803,Periferiche
109,88.82412290812248,20.0,1776.4824581624496,Software
110,307.77819828252876,19.0,5847.785767368046,Software
111,287.19698687596264,3.0,861.5909606278879,Software
112,196.44437604230825,43.0,8447.108169819254,Elettronica
113,420.2875568937563,16.0,6724.600910300101,Software
114,436.8239856040429,30.0,13104.719568121287,Software
115,19.252109458448295,45.0,866.3449256301733,Elettronica
116,147.38636562073842,24.0,3537.2727748977222,Periferiche
117,59.49047671929382,25.0,1487.2619179823455,Software
118,427.1700865735739,27.0,11533.592337486494,Periferiche
119,260.0882041618422,43.0,11183.792778959216,Elettronica
120,160.2574998036195,1.0,160.2574998036195,Periferiche
121,192.09410582402867,26.0,4994.446751424745,Periferiche
122,419.71001716141205,6.0,2518.2601029684724,Periferiche
123,124.5487864430685,38.0,4732.853884836602,Elettronica
124,196.5762768525332,8.0,1572.6102148202656,Accessori
125,264.76868564391407,6.0,1588.6121138634844,Software
126,57.97080851557678,26.0,1507.2410214049962,Elettronica
127,25.942837478632796,40.0,1037.7134991453117,Periferiche
128,338.6115223715382,5.0,1693.057611857691,Periferiche
129,487.5472468907722,38.0,18526.795381849344,Accessori
130,70.52727564127241,19.0,1340.0182371841759,Accessori
131,100.95035038556975,50.0,5047.517519278487,Software
132,282.4378182246759,38.0,10732.637092537683,Software
133,376.53823509776606,20.0,7530.7647019553215,Elettronica
134,173.90342878474735,38.0,6608.3302938204,Accessori
135,32.119690604867415,9.0,289.0772154438067,Accessori
136,400.75726650237584,17.0,6812.87353054039,Accessori
137,251.70189248727456,33.0,8306.162452080061,Periferiche
138,35.66016367719506,24.0,855.8439282526814,Periferiche
139,331.92052676506563,24.0,7966.092642361575,Software
140,264.030938177721,41.0,10825.268465286561,Software
141,220.61046591295656,11.0,2426.7151250425222,Periferiche
142,270.7569416395661,2.0,541.5138832791322,Software
143,102.05496648893308,24.0,2449.319195734394,Elettronica
144,428.3156461072253,21.0,8994.628568251732,Elettronica
145,493.16482763607536,39.0,19233.42827780694,Periferiche
146,461.03489594176966,30.0,13831.04687825309,Periferiche
147,463.589207254039,30.0,13907.67621762117,Periferiche
148,450.92579778251195,28.0,12625.922337910335,Accessori
149,14.676560677422824,44.0,645.7686698066043,Software
150,136.4711092225722,39.0,5322.373259680317,Elettronica
151,357.8485872478899,16.0,5725.577395966238,Software
152,136.9120133541672,5.0,684.5600667708359,Elettronica
153,284.1695651423904,43.0,12219.291301122788,Elettronica
154,204.73730031532398,12.0,2456.8476037838877,Accessori
155,341.60654851996446,7.0,2391.2458396397515,Elettronica
156,348.8126643490772,7.0,2441.68865044354,Periferiche
157,460.23346972520255,12.0,5522.80163670243,Software
158,146.16718453114518,19.0,2777.1765060917583,Accessori
159,451.21914270009455,5.0,2256.095713500473,Software
160,467.56984984262465,47.0,21975.782942603357,Elettronica
161,288.37409026964934,24.0,6920.978166471585,Elettronica
162,261.3756577378923,9.0,2352.3809196410307,Elettronica
163,346.2408472176582,5.0,1731.204236088291,Elettronica
164,147.17411053323022,45.0,6622.83497399536,Accessori
165,47.80596792761529,40.0,1912.2387171046116,Accessori
166,344.7449003836006,3.0,1034.2347011508018,Software
167,237.15429570740199,2.0,474.30859141480397,Periferiche
168,373.8696186582911,35.0,13085.436653040188,Periferiche
169,477.12618039249685,43.0,20516.425756877365,Periferiche
170,272.25694807868865,8.0,2178.055584629509,Accessori
171,34.13011486429991,37.0,1262.8142499790968,Elettronica
172,278.0708156667976,7.0,1946.4957096675832,Software
173,223.97280000624875,21.0,4703.428800131223,Accessori
174,98.86422922762284,41.0,4053.4333983325364,Periferiche
175,85.84252866340242,24.0,2060.2206879216583,Software
176,409.24631957665144,22.0,9003.419030686331,Software
177,184.70544544894776,21.0,3878.814354427903,Periferiche
178,299.6573694095572,43.0,12885.26688461096,Software
179,107.27243590891145,20.0,2145.448718178229,Software
180,20.055664296986397,34.0,681.8925860975374,Accessori
181,142.14792125324985,40.0,5685.916850129994,Accessori
182,452.54324465815256,41.0,18554.273030984255,Elettronica
183,384.20369947333063,36.0,13831.333181039903,Elettronica
184,249.4741288883514,41.0,10228.439284422408,Software
185,464.860179297049,18.0,8367.483227346882,Elettronica
186,129.17240983605706,43.0,5554.413622950454,Periferiche
187,119.58982388769924,22.0,2630.9761255293834,Software
188,334.29193337808783,24.0,8023.006401074108,Elettronica
189,84.50708928815608,28.0,2366.1985000683703,Accessori
190,157.2336739501363,44.0,6918.281653805998,Accessori
191,443.17638175861504,21.0,9306.704016930917,Accessori
192,386.1595364705075,15.0,5792.393047057612,Software
193,144.21099944429747,33.0,4758.962981661816,Software
194,363.8194420271139,34.0,12369.861028921872,Software
195,97.5001068608003,7.0,682.5007480256021,Accessori
196,310.9835041353967,35.0,10884.422644738885,Accessori
197,78.11365970168701,23.0,1796.6141731388013,Accessori
198,423.1447296264679,17.0,7193.460403649954,Software
199,237.16500642706404,6.0,1422.9900385623841,Periferiche
200,396.0350863652078,5.0,1980.1754318260391,Accessori
